inventor,inventorLabel,genderLabel,countryLabel
http://www.wikidata.org/entity/Q21469,Valerie Thomas,féminin,États-Unis
http://www.wikidata.org/entity/Q21474,Helen Blanchard,féminin,États-Unis
http://www.wikidata.org/entity/Q8753,Enrico Fermi,masculin,États-Unis
http://www.wikidata.org/entity/Q8753,Enrico Fermi,masculin,Italie
http://www.wikidata.org/entity/Q17518,Mary Anderson,féminin,États-Unis
http://www.wikidata.org/entity/Q64428,Hermann Gruson,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q63131,Paul Walden,masculin,Allemagne
http://www.wikidata.org/entity/Q63131,Paul Walden,masculin,Lettonie
http://www.wikidata.org/entity/Q85505,Edmund Germer,masculin,Allemagne
http://www.wikidata.org/entity/Q65344,Andy Bechtolsheim,masculin,Allemagne
http://www.wikidata.org/entity/Q101516,Sergueï Prokoudine-Gorski,masculin,Empire russe
http://www.wikidata.org/entity/Q100472,Ludwig Karl Böhm,masculin,Empire allemand
http://www.wikidata.org/entity/Q41239,Constantin Tsiolkovski,masculin,Union soviétique
http://www.wikidata.org/entity/Q63773,Willy Ley,masculin,États-Unis
http://www.wikidata.org/entity/Q63773,Willy Ley,masculin,Allemagne
http://www.wikidata.org/entity/Q103627,Max Schuler,masculin,Allemagne
http://www.wikidata.org/entity/Q65705,Albert Betz,masculin,Allemagne
http://www.wikidata.org/entity/Q85126,Hermann Ganswindt,masculin,Allemagne
http://www.wikidata.org/entity/Q40579,Abdel Rahim al-Kib,masculin,Libye
http://www.wikidata.org/entity/Q63788,Ludwig Bölkow,masculin,Allemagne
http://www.wikidata.org/entity/Q41257,Heinrich Rudolf Hertz,masculin,Hambourg
http://www.wikidata.org/entity/Q64980,Paul Rudolph,masculin,duché de Saxe-Altenbourg
http://www.wikidata.org/entity/Q84333,Robert Lusser,masculin,Allemagne
http://www.wikidata.org/entity/Q63758,Eugen Langen,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q68621,Béla Barényi,masculin,Allemagne
http://www.wikidata.org/entity/Q68621,Béla Barényi,masculin,Autriche
http://www.wikidata.org/entity/Q83233,Jacques-Yves Cousteau,masculin,France
http://www.wikidata.org/entity/Q63131,Paul Walden,masculin,Russie soviétique
http://www.wikidata.org/entity/Q41239,Constantin Tsiolkovski,masculin,République russe
http://www.wikidata.org/entity/Q79143,Theodor Scheimpflug,masculin,Autriche-Hongrie
http://www.wikidata.org/entity/Q103677,Johann Mannhardt,masculin,Empire allemand
http://www.wikidata.org/entity/Q70360,Arthur Rudolph,masculin,Allemagne
http://www.wikidata.org/entity/Q63131,Paul Walden,masculin,Empire russe
http://www.wikidata.org/entity/Q79143,Theodor Scheimpflug,masculin,empire d'Autriche
http://www.wikidata.org/entity/Q41239,Constantin Tsiolkovski,masculin,Russie soviétique
http://www.wikidata.org/entity/Q85304,Paul Eisler,masculin,Autriche
http://www.wikidata.org/entity/Q85887,Gottlob Honold,masculin,Allemagne
http://www.wikidata.org/entity/Q41314,Bobby Fischer,masculin,États-Unis
http://www.wikidata.org/entity/Q41314,Bobby Fischer,masculin,Islande
http://www.wikidata.org/entity/Q102490,Evangelista Torricelli,masculin,grand-duché de Toscane
http://www.wikidata.org/entity/Q36488,Guglielmo Marconi,masculin,royaume d'Italie
http://www.wikidata.org/entity/Q41239,Constantin Tsiolkovski,masculin,Empire russe
http://www.wikidata.org/entity/Q98637,Max Himmelheber,masculin,Reich allemand
http://www.wikidata.org/entity/Q39246,Richard Feynman,masculin,États-Unis
http://www.wikidata.org/entity/Q80476,Percival Alfred Yeomans,masculin,Australie
http://www.wikidata.org/entity/Q84530,Edmund Rumpler,masculin,Autriche
http://www.wikidata.org/entity/Q64241,Max Knoll,masculin,Allemagne
http://www.wikidata.org/entity/Q102157,Lothar Lammers,masculin,Allemagne
http://www.wikidata.org/entity/Q66878,Wilhelm Bauer,masculin,Confédération germanique
http://www.wikidata.org/entity/Q39599,Christian Huygens,masculin,Provinces-Unies
http://www.wikidata.org/entity/Q99398,Matthäus Hipp,masculin,Royaume du Wurtemberg
http://www.wikidata.org/entity/Q41378,Charles Stark Draper,masculin,États-Unis
http://www.wikidata.org/entity/Q84371,Karl von Terzaghi,masculin,États-Unis
http://www.wikidata.org/entity/Q84371,Karl von Terzaghi,masculin,Autriche
http://www.wikidata.org/entity/Q102640,Georg Hartmann,masculin,Allemagne
http://www.wikidata.org/entity/Q34286,Alexander Graham Bell,masculin,États-Unis
http://www.wikidata.org/entity/Q68032,Hermann Anschütz-Kaempfe,masculin,Allemagne
http://www.wikidata.org/entity/Q81130,Anders Celsius,masculin,Suède
http://www.wikidata.org/entity/Q65853,Johann Andreas Segner,masculin,Hongrie
http://www.wikidata.org/entity/Q41411,Sandford Fleming,masculin,Canada
http://www.wikidata.org/entity/Q102164,Hermann Henschel,masculin,Empire allemand
http://www.wikidata.org/entity/Q85565,Jakob Christoph Rad,masculin,Suisse
http://www.wikidata.org/entity/Q62899,Steve Mann,masculin,Canada
http://www.wikidata.org/entity/Q84887,Carl Kellner,masculin,grand-duché de Hesse
http://www.wikidata.org/entity/Q39316,Perec Rozenberg,masculin,Israël
http://www.wikidata.org/entity/Q69736,Georg Friedrich von Reichenbach,masculin,royaume de Bavière
http://www.wikidata.org/entity/Q83557,Nikolaï Bassov,masculin,Union soviétique
http://www.wikidata.org/entity/Q83557,Nikolaï Bassov,masculin,Russie
http://www.wikidata.org/entity/Q34286,Alexander Graham Bell,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q62910,Carver Mead,masculin,États-Unis
http://www.wikidata.org/entity/Q69894,Bodo von Borries,masculin,Allemagne
http://www.wikidata.org/entity/Q84085,Bryce Bayer,masculin,États-Unis
http://www.wikidata.org/entity/Q103014,Johannes Plendl,masculin,Allemagne
http://www.wikidata.org/entity/Q63236,Walter Bruch,masculin,Allemagne
http://www.wikidata.org/entity/Q99582,Hermann Rietschel,masculin,Allemagne
http://www.wikidata.org/entity/Q69736,Georg Friedrich von Reichenbach,masculin,Électorat de Bavière
http://www.wikidata.org/entity/Q34965,Jeri Ellsworth,féminin,États-Unis
http://www.wikidata.org/entity/Q40197,Lillian Moller Gilbreth,féminin,États-Unis
http://www.wikidata.org/entity/Q84609,Fritz Pfleumer,masculin,Allemagne
http://www.wikidata.org/entity/Q84609,Fritz Pfleumer,masculin,Autriche
http://www.wikidata.org/entity/Q41411,Sandford Fleming,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q41510,Mandy Haberman,féminin,Royaume-Uni
http://www.wikidata.org/entity/Q63217,Georg Wilhelm Richmann,masculin,Empire russe
http://www.wikidata.org/entity/Q84870,Herman Potočnik,masculin,Autriche-Hongrie
http://www.wikidata.org/entity/Q69994,Hermann Kemper,masculin,Allemagne
http://www.wikidata.org/entity/Q65896,Gunther von Hagens,masculin,Allemagne
http://www.wikidata.org/entity/Q37064,Alexandre Fleming,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q102289,Richard Buckminster Fuller,masculin,États-Unis
http://www.wikidata.org/entity/Q68175,Wilhelm Klinkerfues,masculin,Confédération de l'Allemagne du Nord
http://www.wikidata.org/entity/Q68175,Wilhelm Klinkerfues,masculin,Confédération germanique
http://www.wikidata.org/entity/Q68175,Wilhelm Klinkerfues,masculin,Empire allemand
http://www.wikidata.org/entity/Q83557,Nikolaï Bassov,masculin,Russie soviétique
http://www.wikidata.org/entity/Q84870,Herman Potočnik,masculin,royaume de Yougoslavie
http://www.wikidata.org/entity/Q64718,Victor Hasselblad,masculin,Suède
http://www.wikidata.org/entity/Q41582,Beulah Louise Henry,féminin,États-Unis
http://www.wikidata.org/entity/Q85447,Friedrich Eduard Hoffmann,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q62984,Rudolph Fittig,masculin,Hambourg
http://www.wikidata.org/entity/Q102751,Dietrich Uhlhorn,masculin,grand-duché d'Oldenbourg
http://www.wikidata.org/entity/Q101508,Richard Steiff,masculin,Allemagne
http://www.wikidata.org/entity/Q101516,Sergueï Prokoudine-Gorski,masculin,France
http://www.wikidata.org/entity/Q40224,Carl Benz,masculin,grand-duché de Bade
http://www.wikidata.org/entity/Q67045,Hermann Sprengel,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q41624,Erna Schneider Hoover,féminin,États-Unis
http://www.wikidata.org/entity/Q41627,Ida Henrietta Hyde,féminin,États-Unis
http://www.wikidata.org/entity/Q80905,Donald Arthur Glaser,masculin,États-Unis
http://www.wikidata.org/entity/Q85988,Friedrich Egermann,masculin,Autriche
http://www.wikidata.org/entity/Q67152,Christian Hülsmeyer,masculin,Allemagne
http://www.wikidata.org/entity/Q101508,Richard Steiff,masculin,Reich allemand
http://www.wikidata.org/entity/Q67104,Wilhelm Normann,masculin,Reich allemand
http://www.wikidata.org/entity/Q63709,Paul Nipkow,masculin,Reich allemand
http://www.wikidata.org/entity/Q79090,Wilhelm Engerth,masculin,Cisleithanie
http://www.wikidata.org/entity/Q66166,Adolf Martens,masculin,Allemagne
http://www.wikidata.org/entity/Q81627,Al-Djazari,masculin,Artukides
http://www.wikidata.org/entity/Q39637,Nicolas Appert,masculin,France
http://www.wikidata.org/entity/Q68443,Julius Neubronner,masculin,Allemagne
http://www.wikidata.org/entity/Q37193,Robert Koch,masculin,royaume de Hanovre
http://www.wikidata.org/entity/Q37193,Robert Koch,masculin,Empire allemand
http://www.wikidata.org/entity/Q40224,Carl Benz,masculin,République de Bade
http://www.wikidata.org/entity/Q64980,Paul Rudolph,masculin,Allemagne
http://www.wikidata.org/entity/Q99127,Wilhelm von Faber du Faur,masculin,Royaume du Wurtemberg
http://www.wikidata.org/entity/Q79130,Günther Burstyn,masculin,Autriche
